Source,ID.Number,Latitude,Longitude,LocUncertain
iNaturalist,3423331,37.46644598,-96.50972615,NA
iNaturalist,3423332,37.72431514,-96.40671044,NA
iNaturalist,3424119,37.20104795,-96.33791274,NA
iNaturalist,3424121,37.45370783,-96.22538477,NA
iNaturalist,3424126,37.78571419,-96.59867752,NA
iNaturalist,3452946,30.44340737,-104.3714168,NA
iNaturalist,3624569,37.44023022,-96.73494975,NA
iNaturalist,4367366,37.4921547,-96.84063408,NA
VertNet,1,31.5777,-109.2549,NA
VertNet,2,31.5556,-109.2653,NA
VertNet,3,31.5727,-109.2582,NA
VertNet,4,31.3899852,-109.5089721,NA
VertNet,5,31.4578,-109.6115,NA
VertNet,6,31.6087,-109.2221,NA
VertNet,7,31.5715,-109.259,NA
VertNet,9,31.59502,-109.25316,NA
VertNet,10,31.761971,-109.112787,NA
VertNet,11,31.5875,-109.2472,NA
VertNet,12,31.56768889,-109.2625889,NA
VertNet,13,31.594586,-109.240028,NA
VertNet,17,38.838333,-103.869694,NA
VertNet,27,38.85171657,-103.6814684,NA
VertNet,28,38.849583,-103.504138,NA
VertNet,76,37.22582626,-96.71560669,NA
VertNet,77,38.3144444,-96.4033333,NA
VertNet,79,39.39419556,-96.58177948,NA
VertNet,81,38.6672222,-97.9980556,NA
VertNet,84,38.2630556,-95.7427778,NA
VertNet,85,38.75138889,-97.93305556,NA
VertNet,89,38.14831161,-97.84752655,NA
VertNet,90,37.2072,-96.9554,NA
VertNet,92,37.31916667,-97.01555556,NA
VertNet,93,38.15998,-96.29558,NA
VertNet,98,38.72580719,-97.81781769,NA
VertNet,101,37.305,-97.01638889,NA
VertNet,104,37.6583333,-96.5322222,NA
VertNet,105,39.1336111,-97.1711111,NA
VertNet,107,38.0825,-95.6883333,NA
VertNet,116,38.2808333,-95.2416667,NA
VertNet,120,38.6188889,-97.9680556,NA
VertNet,124,38.1588889,-98.3988889,NA
VertNet,126,38.1586111,-98.4347222,NA
VertNet,128,38.1591667,-98.3675,NA
VertNet,131,38.5219444,-98.6177778,NA
VertNet,135,38.6966667,-98.2527778,NA
VertNet,136,39.2052778,-95.8008333,NA
VertNet,138,38.7822222,-95.5166667,NA
VertNet,140,39.8663889,-96.2958333,NA
VertNet,141,37.2427778,-98.9111111,NA
VertNet,143,37.2822222,-99.0925,NA
VertNet,144,37.2811111,-99.0383333,NA
VertNet,145,37.2816667,-98.9091667,NA
VertNet,146,39.3438889,-95.4605556,NA
VertNet,147,37.0594444,-100.4727778,NA
VertNet,151,37.9811111,-96.0102778,NA
VertNet,152,39.6805556,-98.5563889,NA
VertNet,154,38.3402778,-96.3733333,NA
VertNet,156,38.3838889,-96.3733333,NA
VertNet,157,38.3841667,-96.3827778,NA
VertNet,162,38.3288889,-96.3733333,NA
VertNet,166,38.5222222,-98.0438889,NA
VertNet,167,38.9144444,-98.4755556,NA
VertNet,171,38.3455556,-94.9044444,NA
VertNet,176,38.4491667,-98.7080556,NA
VertNet,177,38.4780556,-98.6363889,NA
VertNet,188,38.0947222,-98.4783333,NA
VertNet,189,38.4786111,-95.6661111,NA
VertNet,192,38.7969444,-95.6872222,NA
VertNet,195,37.3436111,-97.6766667,NA
VertNet,197,38.1588889,-98.4175,NA
VertNet,198,38.1586111,-98.4358333,NA
VertNet,210,37.9741667,-101.0669444,NA
VertNet,212,38.1227778,-97.9219444,NA
VertNet,215,37.2755556,-98.7291667,NA
VertNet,218,37.7655556,-95.7736111,NA
VertNet,219,39.3163889,-97.2811111,NA
VertNet,220,38.5966667,-97.3336111,NA
VertNet,221,38.8136111,-97.8733333,NA
VertNet,222,38.7822222,-95.4697222,NA
VertNet,225,37.2816667,-99.0647222,NA
VertNet,226,37.2813889,-99.2188889,NA
VertNet,228,37.2805556,-98.9636111,NA
VertNet,229,37.2641667,-96.9730556,NA
VertNet,239,38.3194444,-96.3247222,NA
VertNet,253,37.6613889,-99.4761111,NA
VertNet,254,38.9666667,-98.4944444,NA
VertNet,257,38.7422222,-97.9838889,NA
VertNet,265,37.7472222,-95.0697222,NA
VertNet,266,38.1116667,-95.8855556,NA
VertNet,267,37.3527778,-96.5194444,NA
VertNet,271,38.4491667,-98.7466667,NA
VertNet,282,37.4561111,-99.0625,NA
VertNet,286,38.4769444,-97.4575,NA
VertNet,287,38.3744444,-94.9177778,NA
VertNet,288,37.4627778,-99.0841667,NA
VertNet,292,39.3683333,-97.4088889,NA
VertNet,294,38.01361,-98.69917,NA
VertNet,298,37.20952,-97.02764,NA
VertNet,299,37.6461111,-98.7377778,NA
VertNet,305,37.7908333,-95.0969444,NA
VertNet,308,37.7197222,-95.1605556,NA
VertNet,309,38.69111,-98.22972,NA
VertNet,357,32.632503,-106.77763,NA
VertNet,358,32.58315,-106.792515,NA
VertNet,359,34.55346,-106.641684,NA
VertNet,360,34.459447,-106.549064,NA
VertNet,362,33.917649,-106.687974,NA
VertNet,363,32.31222,-106.77778,NA
VertNet,364,34.349992,-106.883333,NA
VertNet,365,33.886795,-103.9578,NA
VertNet,366,32.78645,-103.81193,NA
VertNet,367,32.9775925,-103.9385139,NA
VertNet,368,32.79278,-103.81867,NA
VertNet,464,34.7166701,-98.7072138,NA
VertNet,465,36.9705276,-99.3197236,NA
VertNet,471,34.6896963,-98.5715962,NA
VertNet,474,34.8843,-98.5792,NA
VertNet,514,36.3651,-95.6792,NA
VertNet,539,34.1537333,-98.6689361,NA
VertNet,792,32.76602,-97.40316,NA
VertNet,793,32.5163,-99.5605,NA
VertNet,794,32.97725,-99.18637,NA
VertNet,795,33.52316,-102.37466,NA
VertNet,796,33.54939,-98.94595,NA
VertNet,797,34.03106,-100.26287,NA
VertNet,798,34.07162,-100.13337,NA
VertNet,800,35.7899435,-100.7394643,NA
VertNet,801,32.49678,-99.54362,NA
VertNet,802,33.00472,-99.15847,NA
VertNet,803,33.184385,-98.5024299,NA
VertNet,804,32.39389,-99.39389,NA
VertNet,805,27.579471,-97.226959,NA
VertNet,806,31.95114,-99.919176,NA
VertNet,807,31.507771,-99.86816,NA
VertNet,808,31.331666,-100.075362,NA
VertNet,809,35.9146861,-100.2687639,NA
VertNet,810,32.5996611,-97.6012778,NA
VertNet,811,31.6813778,-97.3630611,NA
VertNet,812,27.5521889,-97.2490444,NA
